datetime,temp,feelslike,humidity,precip,preciptype,windspeed,visibility,cloudcover,uvindex,icon
2011-05-19,15.8,15.8,81.6,0.008,rain,13.9,10.7,76.1,7,rain
2011-05-20,17.5,17.5,73.8,0.0,,20.4,11.4,27.4,9,partly-cloudy-day
2011-05-21,18.3,18.3,81.2,0.529,rain,18.3,9.6,62.5,8,rain
2011-05-22,22.1,22.2,65.1,0.066,rain,38.8,14.1,44.8,7,rain
2011-05-23,19.9,19.9,68.5,0.003,rain,24.7,15.7,57.4,9,rain
2011-05-24,14.9,14.9,76.6,0.109,rain,22.0,14.7,57.0,8,rain
2011-05-25,9.8,8.2,88.9,24.177,rain,31.7,10.5,98.6,3,rain
2011-05-26,11.2,9.8,58.5,0.0,,37.9,16.0,34.2,7,partly-cloudy-day
2011-05-27,10.6,10.5,64.1,1.53,rain,20.1,16.0,18.4,10,rain
2011-05-28,15.6,15.6,77.7,0.0,,20.0,12.3,66.3,7,partly-cloudy-day
2011-05-29,15.6,15.6,89.2,2.347,rain,27.3,9.0,75.6,8,rain
2011-05-30,23.9,24.7,71.5,0.0,,36.3,12.5,24.3,9,partly-cloudy-day
2011-05-31,24.9,25.0,56.5,0.245,rain,26.1,15.8,31.3,7,rain
2011-06-01,20.3,20.3,39.6,0.0,,24.3,16.0,9.7,10,clear-day
2011-06-02,17.2,17.2,54.5,0.0,,24.4,16.0,49.8,6,partly-cloudy-day
2011-06-03,24.8,26.0,59.6,0.0,,38.5,15.9,22.8,8,partly-cloudy-day
2011-06-04,26.5,26.3,53.0,0.0,,22.7,14.8,14.0,5,clear-day
2011-06-05,22.7,22.5,54.9,0.0,,15.8,15.8,21.6,9,partly-cloudy-day
2011-06-06,25.6,26.6,57.6,1.281,rain,29.2,15.5,21.2,9,rain
2011-06-07,29.6,30.1,54.0,0.0,,23.3,14.1,0.9,8,clear-day
2011-06-08,26.5,27.4,63.7,14.124,rain,24.3,13.2,43.7,6,rain
2011-06-09,15.2,15.2,81.5,0.242,rain,25.9,14.0,83.2,9,rain
2011-06-10,13.6,13.6,85.7,7.245,rain,17.6,10.4,100.0,7,rain
2011-06-11,14.3,14.3,86.5,1.286,rain,15.2,12.5,92.3,8,rain
2011-06-12,15.0,15.0,70.7,0.0,,19.3,12.7,46.1,9,partly-cloudy-day
2011-06-13,18.0,18.0,59.9,0.0,,21.8,15.9,29.1,10,partly-cloudy-day
2011-06-14,18.0,18.0,57.9,0.0,,28.1,16.0,19.3,6,clear-day
2011-06-15,16.7,16.7,83.9,8.711,rain,25.4,11.4,89.2,5,rain
2011-06-16,19.7,19.7,75.3,0.0,,16.5,14.5,47.1,9,partly-cloudy-day
2011-06-17,21.8,22.0,73.7,0.0,,18.7,13.9,17.6,9,clear-day
2011-06-18,22.1,22.4,73.1,0.051,rain,19.6,14.5,46.4,8,rain
2011-06-19,21.2,21.2,81.3,15.242,rain,14.5,10.9,75.8,5,rain
2011-06-20,21.1,21.1,87.2,0.006,rain,14.9,5.4,98.0,5,rain
2011-06-21,23.7,24.2,78.0,28.947,rain,34.0,11.3,85.4,4,rain
2011-06-22,20.4,20.4,82.2,4.013,rain,27.2,14.3,93.3,8,rain
2011-06-23,16.6,16.6,89.3,3.344,rain,17.5,11.7,100.0,5,rain
2011-06-24,17.0,17.0,76.5,0.0,,19.0,15.8,90.7,8,cloudy
2011-06-25,18.5,18.5,71.5,0.0,,11.8,14.1,20.0,9,clear-day
2011-06-26,20.4,20.4,65.2,0.0,,27.3,13.0,13.7,10,clear-day
2011-06-27,22.2,22.4,68.3,0.297,rain,25.8,13.8,49.5,8,rain
2011-06-28,20.2,20.2,60.9,0.0,,22.3,16.0,17.9,10,clear-day
2011-06-29,20.9,20.9,68.6,0.0,,18.8,13.5,13.8,9,clear-day
2011-06-30,25.0,26.7,66.9,0.0,,30.9,16.0,41.1,8,partly-cloudy-day
2011-07-01,28.2,31.5,71.7,2.041,rain,34.9,14.4,32.4,4,rain
2011-07-02,27.2,28.0,65.2,0.0,,19.6,14.8,25.5,9,partly-cloudy-day
2011-07-03,22.6,22.6,64.4,0.0,,11.1,16.0,8.9,9,clear-day
2011-07-04,23.5,23.6,67.1,0.0,,7.6,14.4,11.2,10,clear-day
2011-07-05,23.8,23.9,70.4,0.767,rain,19.6,15.2,34.5,10,rain
2011-07-06,24.2,24.2,64.8,0.0,,17.4,15.0,23.5,9,partly-cloudy-day
2011-07-07,22.1,22.0,55.0,0.004,rain,15.8,15.5,35.7,7,rain
2011-07-08,23.2,23.3,61.3,0.0,,11.9,15.8,19.6,9,clear-day
2011-07-09,25.9,25.9,55.8,0.0,,25.5,15.8,13.4,9,clear-day
2011-07-10,27.0,28.5,68.1,0.015,rain,20.9,11.8,26.2,7,rain
2011-07-11,25.8,26.6,75.1,2.462,rain,16.1,14.9,51.0,4,rain
2011-07-12,22.7,22.8,70.0,0.0,,16.1,16.0,28.3,9,partly-cloudy-day
2011-07-13,19.4,19.4,70.9,0.0,,20.2,15.9,38.6,10,partly-cloudy-day
2011-07-14,20.6,20.6,65.6,0.0,,21.4,16.0,38.8,9,partly-cloudy-day
2011-07-15,23.9,24.1,56.4,0.0,,19.1,16.0,57.2,7,partly-cloudy-day
2011-07-16,25.7,26.5,69.0,1.062,rain,22.0,14.3,46.0,8,rain
2011-07-17,29.2,32.6,64.3,0.0,,18.7,13.1,22.7,7,partly-cloudy-day
2011-07-18,29.8,36.3,78.6,1.592,rain,18.6,9.8,49.2,7,rain
2011-07-19,29.0,32.2,71.7,0.0,,14.3,13.8,21.8,7,partly-cloudy-day
2011-07-20,30.4,33.3,62.2,0.0,,22.6,15.9,7.0,9,clear-day
2011-07-21,28.3,29.5,58.0,0.0,,17.4,16.0,30.3,9,partly-cloudy-day
2011-07-22,25.4,26.5,76.5,5.647,rain,18.7,15.1,41.9,7,rain
2011-07-23,26.9,27.9,76.0,0.618,rain,22.3,15.7,43.4,8,rain
2011-07-24,25.5,26.5,77.7,1.864,rain,19.4,15.7,78.3,8,rain
2011-07-25,24.6,24.4,63.1,0.0,,15.0,16.0,11.0,9,clear-day
2011-07-26,24.4,24.3,62.7,0.0,,17.8,16.0,18.7,9,clear-day
2011-07-27,21.1,21.1,81.7,25.069,rain,21.9,13.4,78.0,7,rain
2011-07-28,24.7,25.0,85.5,5.6,rain,19.3,14.2,75.5,8,rain
2011-07-29,25.2,25.4,70.5,0.0,,11.0,12.8,9.5,9,clear-day
2011-07-30,25.3,25.9,69.4,0.0,,20.3,14.0,9.1,9,clear-day
2011-07-31,26.9,28.5,68.8,0.0,,13.0,15.9,11.4,9,clear-day
2011-08-01,27.4,29.7,75.3,0.0,,11.0,13.6,28.3,5,partly-cloudy-day
2011-08-02,28.8,32.5,74.3,0.445,rain,22.2,12.1,23.3,7,rain
2011-08-03,26.2,26.7,69.9,0.0,,17.3,15.9,37.2,9,partly-cloudy-day
2011-08-04,23.8,24.1,70.9,0.0,,13.3,14.8,41.2,9,partly-cloudy-day
2011-08-05,24.0,24.2,72.4,0.0,,10.7,13.6,29.3,7,partly-cloudy-day
2011-08-06,25.7,26.0,67.8,0.0,,11.1,14.9,36.7,9,partly-cloudy-day
2011-08-07,24.1,24.4,76.6,21.47,rain,20.4,14.6,39.3,8,rain
2011-08-08,20.9,20.9,84.5,0.888,rain,12.0,11.9,43.6,6,rain
2011-08-09,22.0,22.0,68.6,0.0,,21.5,14.4,54.3,9,partly-cloudy-day
2011-08-10,18.9,18.9,63.6,0.0,,17.4,16.0,20.8,9,partly-cloudy-day
2011-08-11,20.2,20.2,64.6,0.0,,11.7,16.0,20.4,9,partly-cloudy-day
2011-08-12,21.5,21.6,68.9,4.889,rain,27.2,15.5,48.7,5,rain
2011-08-13,19.0,19.0,89.5,19.123,rain,19.9,9.8,63.1,6,rain
